"DoY","Year","Site","Index","Phenophase","Sex","Orchard","Clone","Date","Phenophase_Derived","TreeID","Heatsum"
131,2010,"Sorrento",5337,"receptive20","FEMALE",240,483,"2010-05-11","2",834,69.2379179000853
131,2010,"Sorrento",5342,"receptive20","FEMALE",240,1795,"2010-05-11","2",839,69.2379179000853
131,2010,"Sorrento",5357,"pollenshed20","MALE",240,1795,"2010-05-11","2",839,69.2379179000853
140,2011,"Sorrento",5367,"receptive20","FEMALE",240,483,"2011-05-20","2",834,70.8854058980941
140,2011,"Sorrento",5371,"receptive20","FEMALE",240,1794,"2011-05-20","2",838,70.8854058980941
132,2010,"Sorrento",5338,"receptive20","FEMALE",240,491,"2010-05-12","2",835,73.0009040832519
132,2010,"Sorrento",5341,"receptive20","FEMALE",240,1794,"2010-05-12","2",838,73.0009040832519
132,2010,"Sorrento",5352,"pollenshed20","MALE",240,483,"2010-05-12","2",834,73.0009040832519
132,2010,"Sorrento",5356,"pollenshed20","MALE",240,1794,"2010-05-12","2",838,73.0009040832519
133,2010,"Sorrento",5344,"receptive20","FEMALE",240,4081,"2010-05-13","2",844,77.8386840820312
133,2010,"Sorrento",5345,"receptive20","FEMALE",240,4083,"2010-05-13","2",845,77.8386840820312
133,2010,"Sorrento",5346,"receptive20","FEMALE",240,4117,"2010-05-13","2",847,77.8386840820312
133,2010,"Sorrento",5347,"receptive20","FEMALE",240,4321,"2010-05-13","2",848,77.8386840820312
133,2010,"Sorrento",5349,"receptive20","FEMALE",240,4324,"2010-05-13","2",852,77.8386840820312
133,2010,"Sorrento",5360,"pollenshed20","MALE",240,4083,"2010-05-13","2",845,77.8386840820312
133,2010,"Sorrento",5362,"pollenshed20","MALE",240,4321,"2010-05-13","2",848,77.8386840820312
141,2011,"Sorrento",5365,"receptive20","FEMALE",240,346,"2011-05-21","2",832,78.4151824712753
141,2011,"Sorrento",5369,"receptive20","FEMALE",240,499,"2011-05-21","2",836,78.4151824712753
134,2010,"Sorrento",5336,"receptive20","FEMALE",240,422,"2010-05-14","2",833,84.9220736026762
134,2010,"Sorrento",5339,"receptive20","FEMALE",240,499,"2010-05-14","2",836,84.9220736026762
134,2010,"Sorrento",5340,"receptive20","FEMALE",240,1618,"2010-05-14","2",837,84.9220736026762
134,2010,"Sorrento",5343,"receptive20","FEMALE",240,1799,"2010-05-14","2",841,84.9220736026762
134,2010,"Sorrento",5350,"pollenshed20","MALE",240,346,"2010-05-14","2",832,84.9220736026762
134,2010,"Sorrento",5361,"pollenshed20","MALE",240,4117,"2010-05-14","2",847,84.9220736026762
134,2010,"Sorrento",5364,"pollenshed20","MALE",240,4324,"2010-05-14","2",852,84.9220736026762
142,2011,"Sorrento",5375,"receptive20","FEMALE",240,4083,"2011-05-22","2",845,86.0830119848251
143,2011,"Sorrento",5367,"receptive80","FEMALE",240,483,"2011-05-23","3",834,92.0548230409622
143,2011,"Sorrento",5368,"receptive20","FEMALE",240,491,"2011-05-23","2",835,92.0548230409622
143,2011,"Sorrento",5370,"receptive20","FEMALE",240,1618,"2011-05-23","2",837,92.0548230409622
143,2011,"Sorrento",5372,"receptive20","FEMALE",240,1795,"2011-05-23","2",840,92.0548230409622
143,2011,"Sorrento",5373,"receptive20","FEMALE",240,1799,"2011-05-23","2",842,92.0548230409622
143,2011,"Sorrento",5379,"receptive20","FEMALE",240,4324,"2011-05-23","2",852,92.0548230409622
143,2011,"Sorrento",5381,"pollenshed20","MALE",240,422,"2011-05-23","2",833,92.0548230409622
143,2011,"Sorrento",5386,"pollenshed20","MALE",240,1794,"2011-05-23","2",838,92.0548230409622
143,2011,"Sorrento",5390,"pollenshed20","MALE",240,4083,"2011-05-23","2",845,92.0548230409622
143,2011,"Sorrento",5391,"pollenshed20","MALE",240,4117,"2011-05-23","2",846,92.0548230409622
135,2010,"Sorrento",5335,"receptive20","FEMALE",240,346,"2010-05-15","2",832,92.4504320621489
135,2010,"Sorrento",5351,"pollenshed20","MALE",240,422,"2010-05-15","2",833,92.4504320621489
135,2010,"Sorrento",5353,"pollenshed20","MALE",240,491,"2010-05-15","2",835,92.4504320621489
135,2010,"Sorrento",5355,"pollenshed20","MALE",240,1618,"2010-05-15","2",837,92.4504320621489
144,2011,"Sorrento",5382,"pollenshed20","MALE",240,483,"2011-05-24","2",834,98.4258464574815
144,2011,"Sorrento",5383,"pollenshed20","MALE",240,491,"2011-05-24","2",835,98.4258464574815
144,2011,"Sorrento",5387,"pollenshed20","MALE",240,1795,"2011-05-24","2",840,98.4258464574815
136,2010,"Sorrento",5337,"receptive80","FEMALE",240,483,"2010-05-16","3",834,100.501277208328
136,2010,"Sorrento",5338,"receptive80","FEMALE",240,491,"2010-05-16","3",835,100.501277208328
136,2010,"Sorrento",5341,"receptive80","FEMALE",240,1794,"2010-05-16","3",838,100.501277208328
136,2010,"Sorrento",5345,"receptive80","FEMALE",240,4083,"2010-05-16","3",845,100.501277208328
136,2010,"Sorrento",5347,"receptive80","FEMALE",240,4321,"2010-05-16","3",848,100.501277208328
136,2010,"Sorrento",5349,"receptive80","FEMALE",240,4324,"2010-05-16","3",852,100.501277208328
136,2010,"Sorrento",5354,"pollenshed20","MALE",240,499,"2010-05-16","2",836,100.501277208328
136,2010,"Sorrento",5358,"pollenshed20","MALE",240,1799,"2010-05-16","2",841,100.501277208328
136,2010,"Sorrento",5359,"pollenshed20","MALE",240,4081,"2010-05-16","2",844,100.501277208328
145,2011,"Sorrento",5369,"receptive80","FEMALE",240,499,"2011-05-25","3",836,103.301803708077
145,2011,"Sorrento",5371,"receptive80","FEMALE",240,1794,"2011-05-25","3",838,103.301803708077
145,2011,"Sorrento",5372,"receptive80","FEMALE",240,1795,"2011-05-25","3",840,103.301803708077
145,2011,"Sorrento",5374,"receptive20","FEMALE",240,4070,"2011-05-25","2",843,103.301803708077
145,2011,"Sorrento",5375,"receptive80","FEMALE",240,4083,"2011-05-25","3",845,103.301803708077
145,2011,"Sorrento",5378,"receptive20","FEMALE",240,4323,"2011-05-25","2",851,103.301803708077
145,2011,"Sorrento",5380,"pollenshed20","MALE",240,346,"2011-05-25","2",832,103.301803708077
145,2011,"Sorrento",5382,"pollenshed80","MALE",240,483,"2011-05-25","3",834,103.301803708077
145,2011,"Sorrento",5384,"pollenshed20","MALE",240,499,"2011-05-25","2",836,103.301803708077
145,2011,"Sorrento",5385,"pollenshed20","MALE",240,1618,"2011-05-25","2",837,103.301803708077
145,2011,"Sorrento",5388,"pollenshed20","MALE",240,1799,"2011-05-25","2",842,103.301803708077
145,2011,"Sorrento",5390,"pollenshed80","MALE",240,4083,"2011-05-25","3",845,103.301803708077
145,2011,"Sorrento",5394,"pollenshed20","MALE",240,4324,"2011-05-25","2",852,103.301803708077
150,2011,"KettleRiver",277,"receptive20","FEMALE",237,219,"2011-05-30","2",35,107.758684873581
150,2011,"KettleRiver",278,"receptive20","FEMALE",237,331,"2011-05-30","2",38,107.758684873581
150,2011,"KettleRiver",279,"receptive20","FEMALE",237,331,"2011-05-30","2",39,107.758684873581
150,2011,"KettleRiver",280,"receptive20","FEMALE",237,331,"2011-05-30","2",41,107.758684873581
150,2011,"KettleRiver",281,"receptive20","FEMALE",237,1616,"2011-05-30","2",42,107.758684873581
150,2011,"KettleRiver",282,"receptive20","FEMALE",237,1804,"2011-05-30","2",44,107.758684873581
150,2011,"KettleRiver",283,"receptive20","FEMALE",237,4177,"2011-05-30","2",46,107.758684873581
150,2011,"KettleRiver",284,"receptive20","FEMALE",237,4180,"2011-05-30","2",48,107.758684873581
150,2011,"KettleRiver",285,"receptive20","FEMALE",237,4196,"2011-05-30","2",50,107.758684873581
150,2011,"KettleRiver",286,"receptive20","FEMALE",237,4197,"2011-05-30","2",51,107.758684873581
150,2011,"KettleRiver",287,"receptive20","FEMALE",237,4201,"2011-05-30","2",53,107.758684873581
150,2011,"KettleRiver",288,"receptive20","FEMALE",237,4284,"2011-05-30","2",55,107.758684873581
137,2010,"Sorrento",5336,"receptive80","FEMALE",240,422,"2010-05-17","3",833,109.003510713577
137,2010,"Sorrento",5339,"receptive80","FEMALE",240,499,"2010-05-17","3",836,109.003510713577
137,2010,"Sorrento",5344,"receptive80","FEMALE",240,4081,"2010-05-17","3",844,109.003510713577
137,2010,"Sorrento",5346,"receptive80","FEMALE",240,4117,"2010-05-17","3",847,109.003510713577
137,2010,"Sorrento",5352,"pollenshed80","MALE",240,483,"2010-05-17","3",834,109.003510713577
137,2010,"Sorrento",5360,"pollenshed80","MALE",240,4083,"2010-05-17","3",845,109.003510713577
137,2010,"Sorrento",5362,"pollenshed80","MALE",240,4321,"2010-05-17","3",848,109.003510713577
146,2011,"Sorrento",5376,"receptive20","FEMALE",240,4117,"2011-05-26","2",846,109.694451451302
146,2011,"Sorrento",5386,"pollenshed80","MALE",240,1794,"2011-05-26","3",838,109.694451451302
146,2011,"Sorrento",5393,"pollenshed20","MALE",240,4323,"2011-05-26","2",851,109.694451451302
147,2011,"Sorrento",5366,"receptive20","FEMALE",240,422,"2011-05-27","2",833,112.698115468025
147,2011,"Sorrento",5368,"receptive80","FEMALE",240,491,"2011-05-27","3",835,112.698115468025
147,2011,"Sorrento",5388,"pollenshed80","MALE",240,1799,"2011-05-27","3",842,112.698115468025
148,2011,"Sorrento",5373,"receptive80","FEMALE",240,1799,"2011-05-28","3",842,113.987852215767
148,2011,"Sorrento",5381,"pollenshed80","MALE",240,422,"2011-05-28","3",833,113.987852215767
148,2011,"Sorrento",5383,"pollenshed80","MALE",240,491,"2011-05-28","3",835,113.987852215767
138,2010,"Sorrento",5335,"receptive80","FEMALE",240,346,"2010-05-18","3",832,118.070026636124
138,2010,"Sorrento",5340,"receptive80","FEMALE",240,1618,"2010-05-18","3",837,118.070026636124
138,2010,"Sorrento",5342,"receptive80","FEMALE",240,1795,"2010-05-18","3",839,118.070026636124
138,2010,"Sorrento",5343,"receptive80","FEMALE",240,1799,"2010-05-18","3",841,118.070026636124
138,2010,"Sorrento",5348,"receptive20","FEMALE",240,4322,"2010-05-18","2",849,118.070026636124
138,2010,"Sorrento",5350,"pollenshed80","MALE",240,346,"2010-05-18","3",832,118.070026636124
138,2010,"Sorrento",5356,"pollenshed80","MALE",240,1794,"2010-05-18","3",838,118.070026636124
138,2010,"Sorrento",5361,"pollenshed80","MALE",240,4117,"2010-05-18","3",847,118.070026636124
138,2010,"Sorrento",5363,"pollenshed20","MALE",240,4322,"2010-05-18","2",849,118.070026636124
138,2010,"Sorrento",5364,"pollenshed80","MALE",240,4324,"2010-05-18","3",852,118.070026636124
149,2011,"Sorrento",5365,"receptive80","FEMALE",240,346,"2011-05-29","3",832,118.459800601006
149,2011,"Sorrento",5370,"receptive80","FEMALE",240,1618,"2011-05-29","3",837,118.459800601006
149,2011,"Sorrento",5374,"receptive80","FEMALE",240,4070,"2011-05-29","3",843,118.459800601006
149,2011,"Sorrento",5379,"receptive80","FEMALE",240,4324,"2011-05-29","3",852,118.459800601006
149,2011,"Sorrento",5384,"pollenshed80","MALE",240,499,"2011-05-29","3",836,118.459800601006
149,2011,"Sorrento",5385,"pollenshed80","MALE",240,1618,"2011-05-29","3",837,118.459800601006
149,2011,"Sorrento",5387,"pollenshed80","MALE",240,1795,"2011-05-29","3",840,118.459800601006
150,2011,"Sorrento",5366,"receptive80","FEMALE",240,422,"2011-05-30","3",833,124.252804398537
150,2011,"Sorrento",5378,"receptive80","FEMALE",240,4323,"2011-05-30","3",851,124.252804398537
150,2011,"Sorrento",5380,"pollenshed80","MALE",240,346,"2011-05-30","3",832,124.252804398537
150,2011,"Sorrento",5389,"pollenshed20","MALE",240,4070,"2011-05-30","2",843,124.252804398537
150,2011,"Sorrento",5391,"pollenshed80","MALE",240,4117,"2011-05-30","3",846,124.252804398537
150,2011,"Sorrento",5392,"pollenshed20","MALE",240,4322,"2011-05-30","2",850,124.252804398537
154,2011,"KettleRiver",289,"pollenshed20","MALE",237,219,"2011-06-03","2",35,125.935134887695
154,2011,"KettleRiver",290,"pollenshed20","MALE",237,331,"2011-06-03","2",38,125.935134887695
154,2011,"KettleRiver",291,"pollenshed20","MALE",237,331,"2011-06-03","2",39,125.935134887695
154,2011,"KettleRiver",292,"pollenshed20","MALE",237,331,"2011-06-03","2",41,125.935134887695
154,2011,"KettleRiver",293,"pollenshed20","MALE",237,1616,"2011-06-03","2",42,125.935134887695
154,2011,"KettleRiver",294,"pollenshed20","MALE",237,1804,"2011-06-03","2",44,125.935134887695
154,2011,"KettleRiver",295,"pollenshed20","MALE",237,4177,"2011-06-03","2",46,125.935134887695
154,2011,"KettleRiver",296,"pollenshed20","MALE",237,4180,"2011-06-03","2",48,125.935134887695
154,2011,"KettleRiver",297,"pollenshed20","MALE",237,4196,"2011-06-03","2",50,125.935134887695
154,2011,"KettleRiver",298,"pollenshed20","MALE",237,4197,"2011-06-03","2",51,125.935134887695
154,2011,"KettleRiver",299,"pollenshed20","MALE",237,4201,"2011-06-03","2",53,125.935134887695
154,2011,"KettleRiver",300,"pollenshed20","MALE",237,4284,"2011-06-03","2",55,125.935134887695
139,2010,"Sorrento",5351,"pollenshed80","MALE",240,422,"2010-05-19","3",833,126.093450784683
139,2010,"Sorrento",5353,"pollenshed80","MALE",240,491,"2010-05-19","3",835,126.093450784683
139,2010,"Sorrento",5357,"pollenshed80","MALE",240,1795,"2010-05-19","3",839,126.093450784683
138,2004,"PGTIS",2058,"-","FEMALE",223,1468,"2004-5-17","1",253,126.553838014603
138,2004,"PGTIS",2059,"4","FEMALE",223,1468,"2004-5-17","2",254,126.553838014603
138,2004,"PGTIS",2060,"-","FEMALE",223,1469,"2004-5-17","1",258,126.553838014603
138,2004,"PGTIS",2061,"-","FEMALE",223,1469,"2004-5-17","1",261,126.553838014603
138,2004,"PGTIS",2062,"-","FEMALE",223,1470,"2004-5-17","1",268,126.553838014603
138,2004,"PGTIS",2063,"-","FEMALE",223,1470,"2004-5-17","1",269,126.553838014603
138,2004,"PGTIS",2064,"-","FEMALE",223,1471,"2004-5-17","1",272,126.553838014603
138,2004,"PGTIS",2065,"-","FEMALE",223,1471,"2004-5-17","1",273,126.553838014603
138,2004,"PGTIS",2066,"-","FEMALE",223,1473,"2004-5-17","1",278,126.553838014603
138,2004,"PGTIS",2067,"-","FEMALE",223,1473,"2004-5-17","1",279,126.553838014603
138,2004,"PGTIS",2068,"-","FEMALE",223,1474,"2004-5-17","1",282,126.553838014603
138,2004,"PGTIS",2069,"-","FEMALE",223,1474,"2004-5-17","1",283,126.553838014603
138,2004,"PGTIS",2070,"-","FEMALE",223,1476,"2004-5-17","1",286,126.553838014603
138,2004,"PGTIS",2071,"-","FEMALE",223,1476,"2004-5-17","1",288,126.553838014603
138,2004,"PGTIS",2072,"-","FEMALE",223,1477,"2004-5-17","1",295,126.553838014603
138,2004,"PGTIS",2073,"-","FEMALE",223,1477,"2004-5-17","1",297,126.553838014603
138,2004,"PGTIS",2074,"-","FEMALE",223,1480,"2004-5-17","1",303,126.553838014603
138,2004,"PGTIS",2075,"-","FEMALE",223,1480,"2004-5-17","1",304,126.553838014603
138,2004,"PGTIS",2076,"-","FEMALE",223,1482,"2004-5-17","1",309,126.553838014603
138,2004,"PGTIS",2077,"-","FEMALE",223,1482,"2004-5-17","1",311,126.553838014603
138,2004,"PGTIS",2078,"-","FEMALE",223,1483,"2004-5-17","1",316,126.553838014603
138,2004,"PGTIS",2079,"-","FEMALE",223,1483,"2004-5-17","1",318,126.553838014603
138,2004,"PGTIS",2080,"-","FEMALE",223,1485,"2004-5-17","1",324,126.553838014603
138,2004,"PGTIS",2081,"-","FEMALE",223,1485,"2004-5-17","1",326,126.553838014603
138,2004,"PGTIS",2082,"-","FEMALE",223,1486,"2004-5-17","1",337,126.553838014603
138,2004,"PGTIS",2083,"-","FEMALE",223,1487,"2004-5-17","1",345,126.553838014603
138,2004,"PGTIS",2084,"-","FEMALE",223,1487,"2004-5-17","1",346,126.553838014603
138,2004,"PGTIS",2085,"-","FEMALE",223,1489,"2004-5-17","1",352,126.553838014603
138,2004,"PGTIS",2086,"-","FEMALE",223,1489,"2004-5-17","1",353,126.553838014603
138,2004,"PGTIS",2087,"-","FEMALE",223,1490,"2004-5-17","1",358,126.553838014603
138,2004,"PGTIS",2088,"-","FEMALE",223,1490,"2004-5-17","1",360,126.553838014603
138,2004,"PGTIS",2089,"-","FEMALE",223,1501,"2004-5-17","1",365,126.553838014603
138,2004,"PGTIS",2090,"-","FEMALE",223,1501,"2004-5-17","1",367,126.553838014603
138,2004,"PGTIS",2091,"-","FEMALE",223,1530,"2004-5-17","1",378,126.553838014603
138,2004,"PGTIS",2092,"-","FEMALE",223,1530,"2004-5-17","1",379,126.553838014603
138,2004,"PGTIS",2093,"-","FEMALE",223,1536,"2004-5-17","1",383,126.553838014603
138,2004,"PGTIS",2094,"-","FEMALE",223,1541,"2004-5-17","1",389,126.553838014603
138,2004,"PGTIS",2095,"-","FEMALE",223,1541,"2004-5-17","1",392,126.553838014603
138,2004,"PGTIS",2096,"-","FEMALE",223,1558,"2004-5-17","1",399,126.553838014603
138,2004,"PGTIS",2097,"-","FEMALE",223,1558,"2004-5-17","1",402,126.553838014603
138,2004,"PGTIS",2098,"-","FEMALE",223,1563,"2004-5-17","1",407,126.553838014603
138,2004,"PGTIS",2099,"-","FEMALE",223,1586,"2004-5-17","1",418,126.553838014603
138,2004,"PGTIS",2100,"-","MALE",223,1468,"2004-5-17","1",253,126.553838014603
138,2004,"PGTIS",2101,"-","MALE",223,1468,"2004-5-17","1",254,126.553838014603
138,2004,"PGTIS",2102,"-","MALE",223,1469,"2004-5-17","1",258,126.553838014603
138,2004,"PGTIS",2103,"-","MALE",223,1469,"2004-5-17","1",261,126.553838014603
138,2004,"PGTIS",2104,"-","MALE",223,1470,"2004-5-17","1",268,126.553838014603
138,2004,"PGTIS",2105,"-","MALE",223,1470,"2004-5-17","1",269,126.553838014603
138,2004,"PGTIS",2106,"-","MALE",223,1471,"2004-5-17","1",272,126.553838014603
138,2004,"PGTIS",2107,"-","MALE",223,1471,"2004-5-17","1",273,126.553838014603
138,2004,"PGTIS",2108,"-","MALE",223,1473,"2004-5-17","1",278,126.553838014603
138,2004,"PGTIS",2109,"-","MALE",223,1473,"2004-5-17","1",279,126.553838014603
138,2004,"PGTIS",2110,"-","MALE",223,1474,"2004-5-17","1",282,126.553838014603
138,2004,"PGTIS",2111,"-","MALE",223,1474,"2004-5-17","1",283,126.553838014603
138,2004,"PGTIS",2112,"4","MALE",223,1476,"2004-5-17","2",286,126.553838014603
138,2004,"PGTIS",2113,"3","MALE",223,1476,"2004-5-17","2",288,126.553838014603
138,2004,"PGTIS",2114,"-","MALE",223,1477,"2004-5-17","1",295,126.553838014603
138,2004,"PGTIS",2115,"-","MALE",223,1477,"2004-5-17","1",297,126.553838014603
138,2004,"PGTIS",2116,"-","MALE",223,1480,"2004-5-17","1",303,126.553838014603
138,2004,"PGTIS",2117,"-","MALE",223,1480,"2004-5-17","1",304,126.553838014603
138,2004,"PGTIS",2118,"-","MALE",223,1482,"2004-5-17","1",309,126.553838014603
138,2004,"PGTIS",2119,"-","MALE",223,1482,"2004-5-17","1",311,126.553838014603
138,2004,"PGTIS",2120,"4","MALE",223,1483,"2004-5-17","2",316,126.553838014603
138,2004,"PGTIS",2121,"-","MALE",223,1483,"2004-5-17","1",318,126.553838014603
138,2004,"PGTIS",2122,"-","MALE",223,1485,"2004-5-17","1",324,126.553838014603
138,2004,"PGTIS",2123,"-","MALE",223,1485,"2004-5-17","1",326,126.553838014603
138,2004,"PGTIS",2124,"-","MALE",223,1486,"2004-5-17","1",337,126.553838014603
138,2004,"PGTIS",2125,"-","MALE",223,1487,"2004-5-17","1",345,126.553838014603
138,2004,"PGTIS",2126,"-","MALE",223,1487,"2004-5-17","1",346,126.553838014603
138,2004,"PGTIS",2127,"-","MALE",223,1489,"2004-5-17","1",352,126.553838014603
138,2004,"PGTIS",2128,"-","MALE",223,1489,"2004-5-17","1",353,126.553838014603
138,2004,"PGTIS",2129,"-","MALE",223,1490,"2004-5-17","1",358,126.553838014603
138,2004,"PGTIS",2130,"-","MALE",223,1490,"2004-5-17","1",360,126.553838014603
138,2004,"PGTIS",2131,"4","MALE",223,1501,"2004-5-17","2",365,126.553838014603
138,2004,"PGTIS",2132,"-","MALE",223,1501,"2004-5-17","1",367,126.553838014603
138,2004,"PGTIS",2133,"-","MALE",223,1530,"2004-5-17","1",378,126.553838014603
138,2004,"PGTIS",2134,"-","MALE",223,1530,"2004-5-17","1",379,126.553838014603
138,2004,"PGTIS",2135,"-","MALE",223,1536,"2004-5-17","1",383,126.553838014603
138,2004,"PGTIS",2136,"-","MALE",223,1541,"2004-5-17","1",389,126.553838014603
138,2004,"PGTIS",2137,"-","MALE",223,1541,"2004-5-17","1",392,126.553838014603
138,2004,"PGTIS",2138,"-","MALE",223,1558,"2004-5-17","1",399,126.553838014603
138,2004,"PGTIS",2139,"-","MALE",223,1558,"2004-5-17","1",402,126.553838014603
138,2004,"PGTIS",2140,"-","MALE",223,1563,"2004-5-17","1",407,126.553838014603
138,2004,"PGTIS",2141,"-","MALE",223,1586,"2004-5-17","1",418,126.553838014603
151,2011,"Sorrento",5376,"receptive80","FEMALE",240,4117,"2011-05-31","3",846,129.870295166969
151,2011,"Sorrento",5377,"receptive20","FEMALE",240,4322,"2011-05-31","2",850,129.870295166969
151,2011,"Sorrento",5389,"pollenshed80","MALE",240,4070,"2011-05-31","3",843,129.870295166969
151,2011,"Sorrento",5394,"pollenshed80","MALE",240,4324,"2011-05-31","3",852,129.870295166969
140,2010,"Sorrento",5354,"pollenshed80","MALE",240,499,"2010-05-20","3",836,132.054782867432
140,2010,"Sorrento",5355,"pollenshed80","MALE",240,1618,"2010-05-20","3",837,132.054782867432
140,2010,"Sorrento",5358,"pollenshed80","MALE",240,1799,"2010-05-20","3",841,132.054782867432
140,2010,"Sorrento",5359,"pollenshed80","MALE",240,4081,"2010-05-20","3",844,132.054782867432
144,2010,"KettleRiver",241,"receptive20","FEMALE",237,219,"2010-05-24","2",35,133.177818536758
144,2010,"KettleRiver",252,"receptive20","FEMALE",237,4196,"2010-05-24","2",50,133.177818536758
144,2010,"KettleRiver",259,"pollenshed20","MALE",237,219,"2010-05-24","2",35,133.177818536758
144,2010,"KettleRiver",266,"pollenshed20","MALE",237,1804,"2010-05-24","2",44,133.177818536758
145,2010,"KettleRiver",248,"receptive20","FEMALE",237,1804,"2010-05-25","2",44,135.361331224441
145,2010,"KettleRiver",257,"receptive20","FEMALE",237,NA,"2010-05-25","2",58,135.361331224441
145,2010,"KettleRiver",270,"pollenshed20","MALE",237,4196,"2010-05-25","2",50,135.361331224441
145,2010,"KettleRiver",275,"pollenshed20","MALE",237,NA,"2010-05-25","2",58,135.361331224441
142,2010,"Sorrento",5348,"receptive80","FEMALE",240,4322,"2010-05-22","3",849,135.969310760498
142,2010,"Sorrento",5363,"pollenshed80","MALE",240,4322,"2010-05-22","3",849,135.969310760498
152,2011,"Sorrento",5393,"pollenshed80","MALE",240,4323,"2011-06-01","3",851,135.99637567997
134,2008,"Kalamalka",71,"receptive20","FEMALE",230,3126,"2008-05-13","2",11,138.521227359772
134,2008,"Kalamalka",75,"receptive20","FEMALE",230,3172,"2008-05-13","2",15,138.521227359772
146,2010,"KettleRiver",242,"receptive20","FEMALE",237,328,"2010-05-26","2",36,139.226102352142
146,2010,"KettleRiver",258,"receptive20","FEMALE",237,NA,"2010-05-26","2",59,139.226102352142
153,2000,"PGTIS",1746,"-","FEMALE",223,1482,"2000-6-1","1",309,140.029687643051
153,2000,"PGTIS",1747,"-","FEMALE",223,1482,"2000-6-1","1",311,140.029687643051
153,2000,"PGTIS",1749,"-","FEMALE",223,1483,"2000-6-1","1",320,140.029687643051
153,2000,"PGTIS",1759,"-","FEMALE",223,1501,"2000-6-1","1",365,140.029687643051
153,2000,"PGTIS",1760,"-","FEMALE",223,1501,"2000-6-1","1",367,140.029687643051
153,2000,"PGTIS",3238,"4","FEMALE",228,951,"2000-6-1","2",430,140.029687643051
153,2000,"PGTIS",3239,"-","FEMALE",228,951,"2000-6-1","1",431,140.029687643051
153,2000,"PGTIS",3250,"-","FEMALE",228,987,"2000-6-1","1",467,140.029687643051
153,2000,"PGTIS",3251,"-","FEMALE",228,987,"2000-6-1","1",468,140.029687643051
153,2000,"PGTIS",3255,"-","FEMALE",228,1460,"2000-6-1","1",482,140.029687643051
153,2000,"PGTIS",3258,"-","FEMALE",228,1462,"2000-6-1","1",494,140.029687643051
153,2000,"PGTIS",3262,"-","FEMALE",228,1464,"2000-6-1","1",510,140.029687643051
153,2000,"PGTIS",3269,"-","FEMALE",228,1467,"2000-6-1","1",535,140.029687643051
153,2000,"PGTIS",3272,"-","FEMALE",228,1533,"2000-6-1","1",550,140.029687643051
153,2000,"PGTIS",3273,"-","FEMALE",228,1533,"2000-6-1","1",552,140.029687643051
153,2000,"PGTIS",1770,"-","MALE",223,1468,"2000-6-1","1",253,140.029687643051
153,2000,"PGTIS",1771,"-","MALE",223,1468,"2000-6-1","1",254,140.029687643051
153,2000,"PGTIS",1772,"4","MALE",223,1469,"2000-6-1","2",259,140.029687643051
153,2000,"PGTIS",1773,"4","MALE",223,1469,"2000-6-1","2",261,140.029687643051
153,2000,"PGTIS",1774,"-","MALE",223,1470,"2000-6-1","1",268,140.029687643051
153,2000,"PGTIS",1775,"-","MALE",223,1470,"2000-6-1","1",269,140.029687643051
153,2000,"PGTIS",1776,"-","MALE",223,1471,"2000-6-1","1",272,140.029687643051
153,2000,"PGTIS",1777,"-","MALE",223,1471,"2000-6-1","1",273,140.029687643051
153,2000,"PGTIS",1778,"-","MALE",223,1473,"2000-6-1","1",278,140.029687643051
153,2000,"PGTIS",1779,"-","MALE",223,1473,"2000-6-1","1",279,140.029687643051
153,2000,"PGTIS",1780,"-","MALE",223,1474,"2000-6-1","1",282,140.029687643051
153,2000,"PGTIS",1781,"-","MALE",223,1474,"2000-6-1","1",283,140.029687643051
153,2000,"PGTIS",1782,"4","MALE",223,1476,"2000-6-1","2",286,140.029687643051
153,2000,"PGTIS",1783,"4","MALE",223,1476,"2000-6-1","2",288,140.029687643051
153,2000,"PGTIS",1786,"-","MALE",223,1480,"2000-6-1","1",303,140.029687643051
153,2000,"PGTIS",1787,"-","MALE",223,1480,"2000-6-1","1",304,140.029687643051
153,2000,"PGTIS",1788,"-","MALE",223,1482,"2000-6-1","1",309,140.029687643051
153,2000,"PGTIS",1789,"-","MALE",223,1482,"2000-6-1","1",311,140.029687643051
153,2000,"PGTIS",1790,"-","MALE",223,1483,"2000-6-1","1",318,140.029687643051
153,2000,"PGTIS",1791,"-","MALE",223,1483,"2000-6-1","1",320,140.029687643051
153,2000,"PGTIS",1792,"-","MALE",223,1485,"2000-6-1","1",328,140.029687643051
153,2000,"PGTIS",1794,"-","MALE",223,1486,"2000-6-1","1",341,140.029687643051
153,2000,"PGTIS",1795,"-","MALE",223,1487,"2000-6-1","1",345,140.029687643051
153,2000,"PGTIS",1796,"-","MALE",223,1487,"2000-6-1","1",346,140.029687643051
153,2000,"PGTIS",1798,"-","MALE",223,1489,"2000-6-1","1",353,140.029687643051
153,2000,"PGTIS",1799,"-","MALE",223,1490,"2000-6-1","1",356,140.029687643051
153,2000,"PGTIS",1800,"4","MALE",223,1490,"2000-6-1","2",361,140.029687643051
153,2000,"PGTIS",1801,"4","MALE",223,1501,"2000-6-1","2",365,140.029687643051
153,2000,"PGTIS",1802,"4","MALE",223,1501,"2000-6-1","2",367,140.029687643051
153,2000,"PGTIS",1803,"-","MALE",223,1530,"2000-6-1","1",374,140.029687643051
153,2000,"PGTIS",1804,"4","MALE",223,1530,"2000-6-1","2",376,140.029687643051
